prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
41991233,D010107,干旱半干旱地区水循环过程与生态系统相互作用机理,冯晓明,中国科学院生态环境研究中心,377,2020-01至2024-12
51991355,E03,高分子材料燃烧过程的抑烟减毒新原理与新方法,方征平,浙大宁波理工学院,299.5,2020-01至2024-12
61991401,F0310,复杂环境下重大耗能设备运行工况智能识别方法,范自柱,华东交通大学,437,2020-01至2024-12
71991471,G0303,高维度和非结构化数据建模和预测研究,范剑青,复旦大学,330,2020-01至2024-12
71991470,G0303,经济计量建模与预测研究,范剑青,复旦大学,1462.4,2020-01至2024-12
21991134,B03,催组装在生物医学与材料中的应用,樊春海,上海交通大学,450,2020-01至2024-12
81991503,H14,牙周稳态在维持全身健康中的作用及机制研究,段胜仲,上海交通大学,350,2020-01至2024-12
41991332,D0701,土壤复合污染物与生物的相互作用及生态风险效应,段桂兰,中国科学院生态环境研究中心,357,2020-01至2024-12
51991394,E0905,不良地质段跨海隧道多源信息智慧感知与性能分析,杜彦良,山东大学,430,2020-01至2024-12
51991390,E0905,超长跨海隧道的灾害规律和施工控制,杜彦良,山东大学,2000,2020-01至2024-12
51991395,E0905,大数据驱动的不良地质段跨海隧道结构灾变预报与控制,杜博文,北京航空航天大学,380,2020-01至2024-12
61991451,F0511,海洋散射光学图像重构理论、算法及评估方法研究,董伟生,西安电子科技大学,397,2020-01至2024-12
31991173,C0802,肿瘤浸润免疫细胞调控T细胞功能耗竭的分子筛选和功能验证,董晨,清华大学,498,2020-01至2024-12
31991170,C0802,肿瘤微环境中免疫细胞命运调控机制,董晨,清华大学,1985,2020-01至2024-12
61991424,F0112,SAR微波视觉三维成像试验验证,丁赤飚,中国科学院电子学研究所,400,2020-01至2024-12
61991420,F0112,合成孔径雷达微波视觉三维成像理论与应用基础研究,丁赤飚,中国科学院电子学研究所,1961,2020-01至2024-12
81991505,H14,牙周稳态重塑新材料的作用机制研究,邓旭亮,北京大学,350,2020-01至2024-12
11991021,A0112,混合整数规划的人工智能方法,戴彧虹,中国科学院数学与系统科学研究院,462,2020-01至2024-12
51991371,E0512,光学复杂表面抛光装备纳米精度加工状态的认知与调控,戴一帆,中国人民解放军国防科技大学,438,2020-01至2024-12
81991494,H10,预存免疫对疫苗免疫应答的影响及机制,戴连攀,中国科学院动物研究所,342.5,2020-01至2024-12
21991101,B08,高端聚合物功能材料制备的微化工过程和科学基础,褚良银,四川大学,450,2020-01至2024-12
21991084,B04,细胞中功能分子精准定位与相互作用的光学测量新方法,楚霞,湖南大学,520,2020-01至2024-12
61991421,F0112,基于微波视觉的SAR三维成像理论与方法,仇晓兰,中国科学院电子学研究所,574,2020-01至2024-12
51991381,E0703,高品质伺服电机磁场调制理论及其表征方法,程明,东南大学,350,2020-01至2024-12
51991380,E0703,高品质伺服电机系统磁场调制理论与设计方法,程明,东南大学,2000,2020-01至2024-12
21991151,B0204,电极/聚电解质界面结构与电化学行为研究,程俊,厦门大学,480,2020-01至2024-12
71991484,G0412,基于全生命周期的战略性关键金属矿产循环利用时空规律与再生潜力评估,成升魁,中国科学院地理科学与资源研究所,285,2020-01至2024-12
71991482,G0412,新时代战略性关键矿产资源供给安全与管理政策,成金华,中国地质大学（武汉）,290,2020-01至2024-12
11991023,A0112,连续优化的自主学习方法,陈志平,西安交通大学,446,2020-01至2024-12
71991461,G0207,共享经济平台服务运作模式与风险管理,陈煜波,清华大学,272.5,2020-01至2024-12
61991431,F0403,中远红外量子级联激光器结构演化及性能预测,陈涌海,中国科学院半导体研究所,680,2020-01至2024-12
61991430,F0403,高性能中远红外量子级联激光器基础理论与关键技术,陈涌海,中国科学院半导体研究所,1965,2020-01至2024-12
61991442,F0504,复合量子阱结构的局域光场增强光电耦合和转换机理,陈效双,中国科学院上海技术物理研究所,590,2020-01至2024-12
21991153,B0204,碱性膜电极的构效关系与工况结构演化研究,陈立桅,上海交通大学,480,2020-01至2024-12
